metric,world,mean_delta,ci_lower,ci_upper,n_models
Brier_RES_mean,WJ_concept_drift,-0.07343922020290063,-0.09066380116550207,-0.05449897654144073,7
Brier_RES_ci_lo,WA_clean,-0.06314436778198865,-0.07859891175414635,-0.04428309336316023,7
Brier_RES_ci_lo,WB_noise_outliers,-0.059137121496731414,-0.07467784403109246,-0.04253553278999363,7
Brier_RES_ci_lo,WC_missingness,-0.0568743052939205,-0.07010900531130855,-0.04024870192828599,7
Brier_RES_ci_lo,WD_shift,-0.06493062438877821,-0.07719201918816435,-0.04727514050297655,7
Brier_RES_ci_lo,WE_surrogate_corrupt,-0.06417883520696788,-0.08073032056447658,-0.04517801694622774,7
Brier_RES_ci_lo,WF_nonlinear,-0.06053552780055514,-0.07065365074265507,-0.04837266099586024,7
Brier_RES_ci_lo,WG_label_noise,-0.05747526863144947,-0.068737966251907,-0.04145736600714412,7
Brier_RES_ci_lo,WH_subgroup_shift,-0.062054118270769655,-0.07641194159977156,-0.04407877488035147,7
Brier_RES_ci_lo,WI_prevalence_shift,0.0330666172786533,0.018325582096160888,0.04629846054412301,7
Brier_RES_ci_lo,WJ_concept_drift,-0.0632894735565822,-0.08002027714118723,-0.04395648064203137,7
Brier_RES_ci_hi,WA_clean,-0.08466861518057044,-0.10183744909037795,-0.06557819779908095,7
Brier_RES_ci_hi,WB_noise_outliers,-0.0808198378976075,-0.09754449907937092,-0.06350172726624909,7
Brier_RES_ci_hi,WC_missingness,-0.07940311459289208,-0.09246730122792161,-0.06445403965209819,7
Brier_RES_ci_hi,WD_shift,-0.08552479670418545,-0.09624194342135574,-0.06955454851612478,7
Brier_RES_ci_hi,WE_surrogate_corrupt,-0.08852724442894785,-0.10618386810544074,-0.06957747924381416,7
Brier_RES_ci_hi,WF_nonlinear,-0.08935564629719384,-0.10083274752650279,-0.07647953428591246,7
Brier_RES_ci_hi,WG_label_noise,-0.08001196601757994,-0.096753533985664,-0.060112038922794694,7
Brier_RES_ci_hi,WH_subgroup_shift,-0.08545980337859371,-0.1005697725690786,-0.06674166586820204,7
Brier_RES_ci_hi,WI_prevalence_shift,0.014879928981976497,-0.001852657562914446,0.028258111391281544,7
Brier_RES_ci_hi,WJ_concept_drift,-0.08435013369260538,-0.10212941200255561,-0.06632183963609836,7
Brier_UNC_mean,WA_clean,-0.22391608401803362,-0.22391608401803362,-0.22391608401803362,7
Brier_UNC_mean,WB_noise_outliers,-0.22391608401803362,-0.22391608401803362,-0.22391608401803362,7
Brier_UNC_mean,WC_missingness,-0.22391608401803362,-0.22391608401803362,-0.22391608401803362,7
Brier_UNC_mean,WD_shift,-0.22391608401803362,-0.22391608401803362,-0.22391608401803362,7
Brier_UNC_mean,WE_surrogate_corrupt,-0.22391608401803362,-0.22391608401803362,-0.22391608401803362,7
Brier_UNC_mean,WF_nonlinear,-0.22391608401803362,-0.22391608401803362,-0.22391608401803362,7
Brier_UNC_mean,WG_label_noise,-0.1423307412320045,-0.1423307412320045,-0.1423307412320045,7
Brier_UNC_mean,WH_subgroup_shift,-0.22391608401803362,-0.22391608401803362,-0.22391608401803362,7
Brier_UNC_mean,WI_prevalence_shift,-0.002054341301578,-0.002054341301578,-0.002054341301578,7
Brier_UNC_mean,WJ_concept_drift,-0.22391608401803362,-0.22391608401803362,-0.22391608401803362,7
Brier_UNC_ci_lo,WA_clean,-0.22382316478697756,-0.2238438352150473,-0.22380924779785435,7
Brier_UNC_ci_lo,WB_noise_outliers,-0.2238199544962917,-0.22383708177610076,-0.22380290923872864,7
Brier_UNC_ci_lo,WC_missingness,-0.22382292077079563,-0.22383700180441088,-0.22380891970887024,7
Brier_UNC_ci_lo,WD_shift,-0.22382274373259733,-0.22383711909262616,-0.2238087556643782,7
Brier_UNC_ci_lo,WE_surrogate_corrupt,-0.22381600328735707,-0.22383000639983863,-0.2238087556643782,7
Brier_UNC_ci_lo,WF_nonlinear,-0.22383690678845866,-0.223851162809716,-0.22382265076720126,7
Brier_UNC_ci_lo,WG_label_noise,-0.14278734639779142,-0.1428368445991409,-0.1427350886286717,7
Brier_UNC_ci_lo,WH_subgroup_shift,-0.2238299182259241,-0.22385083472073192,-0.22381583719230885,7
Brier_UNC_ci_lo,WI_prevalence_shift,-0.0015214490729890118,-0.0015214490729890118,-0.0015214490729890118,7
