bin,p_mean,y_mean,count,fold,model,world
4,0.294469696969697,0.2727272727272727,11,7,RandomForest,WA_clean
5,0.35733333333333334,0.0,5,7,RandomForest,WA_clean
6,0.4317857142857142,0.42857142857142855,7,7,RandomForest,WA_clean
7,0.4978125,0.5,8,7,RandomForest,WA_clean
8,0.5715,0.8,5,7,RandomForest,WA_clean
9,0.6466666666666667,1.0,2,7,RandomForest,WA_clean
10,0.6844444444444444,0.3333333333333333,3,7,RandomForest,WA_clean
11,0.7566666666666667,1.0,3,7,RandomForest,WA_clean
2,0.18583333333333335,1.0,2,7,RandomForest,WI_prevalence_shift
3,0.22062500000000002,0.25,4,7,RandomForest,WI_prevalence_shift
4,0.28809523809523807,0.21428571428571427,14,7,RandomForest,WI_prevalence_shift
5,0.35854166666666665,0.0,4,7,RandomForest,WI_prevalence_shift
6,0.44395833333333334,0.5,4,7,RandomForest,WI_prevalence_shift
7,0.5061111111111111,0.3333333333333333,12,7,RandomForest,WI_prevalence_shift
8,0.5766666666666667,0.75,4,7,RandomForest,WI_prevalence_shift
9,0.6466666666666667,1.0,2,7,RandomForest,WI_prevalence_shift
10,0.6816666666666666,0.0,4,7,RandomForest,WI_prevalence_shift
11,0.735,1.0,1,7,RandomForest,WI_prevalence_shift
0,0.010727202535027694,0.0,1,8,Logistic_L2,WA_clean
1,0.09305475278811036,0.0,3,8,Logistic_L2,WA_clean
2,0.15333447465583339,0.6666666666666666,3,8,Logistic_L2,WA_clean
3,0.22451496611749744,0.0,2,8,Logistic_L2,WA_clean
4,0.32104240817729274,0.75,4,8,Logistic_L2,WA_clean
5,0.36239377022909336,0.0,4,8,Logistic_L2,WA_clean
6,0.43945416123729325,0.3333333333333333,6,8,Logistic_L2,WA_clean
7,0.5001964290279866,0.6,5,8,Logistic_L2,WA_clean
8,0.5523477589717907,0.5,8,8,Logistic_L2,WA_clean
9,0.6339350291524254,0.6666666666666666,3,8,Logistic_L2,WA_clean
10,0.7000845642640363,0.6,5,8,Logistic_L2,WA_clean
11,0.7690362421672985,0.8,5,8,Logistic_L2,WA_clean
12,0.832763354057227,0.0,1,8,Logistic_L2,WA_clean
0,0.010727202535027694,0.0,4,8,Logistic_L2,WI_prevalence_shift
1,0.09305475278811037,0.0,3,8,Logistic_L2,WI_prevalence_shift
2,0.14489336863765656,1.0,1,8,Logistic_L2,WI_prevalence_shift
3,0.24840284604340476,0.0,1,8,Logistic_L2,WI_prevalence_shift
4,0.31695577850766393,0.5,2,8,Logistic_L2,WI_prevalence_shift
5,0.3585726782000027,0.0,3,8,Logistic_L2,WI_prevalence_shift
6,0.45664483992305827,0.16666666666666666,6,8,Logistic_L2,WI_prevalence_shift
7,0.4986498714173598,0.5,6,8,Logistic_L2,WI_prevalence_shift
8,0.5516284689556882,0.4444444444444444,9,8,Logistic_L2,WI_prevalence_shift
9,0.6207172341822597,0.3333333333333333,3,8,Logistic_L2,WI_prevalence_shift
10,0.7048718674532484,0.6,5,8,Logistic_L2,WI_prevalence_shift
11,0.7671335811710038,0.5714285714285714,7,8,Logistic_L2,WI_prevalence_shift
2,0.19,0.0,1,8,RandomForest,WA_clean
3,0.22944444444444445,0.0,3,8,RandomForest,WA_clean
4,0.29666666666666663,0.0,4,8,RandomForest,WA_clean
5,0.37216666666666665,0.4,5,8,RandomForest,WA_clean
6,0.42992424242424243,0.36363636363636365,11,8,RandomForest,WA_clean
7,0.49007575757575766,0.6363636363636364,11,8,RandomForest,WA_clean
8,0.5433333333333333,0.5,2,8,RandomForest,WA_clean
9,0.6205555555555556,0.6666666666666666,6,8,RandomForest,WA_clean
10,0.6883333333333334,0.6,5,8,RandomForest,WA_clean
11,0.7833333333333333,1.0,2,8,RandomForest,WA_clean
2,0.19,0.0,2,8,RandomForest,WI_prevalence_shift
3,0.23083333333333333,0.0,2,8,RandomForest,WI_prevalence_shift
4,0.2945833333333333,0.0,2,8,RandomForest,WI_prevalence_shift
5,0.36541666666666667,0.5,2,8,RandomForest,WI_prevalence_shift
6,0.4268137254901961,0.23529411764705882,17,8,RandomForest,WI_prevalence_shift
7,0.4867424242424242,0.36363636363636365,11,8,RandomForest,WI_prevalence_shift
8,0.5419444444444445,0.3333333333333333,3,8,RandomForest,WI_prevalence_shift
9,0.6139583333333334,1.0,4,8,RandomForest,WI_prevalence_shift
10,0.6806666666666665,0.4,5,8,RandomForest,WI_prevalence_shift
11,0.7833333333333333,1.0,2,8,RandomForest,WI_prevalence_shift
0,0.011741224544951065,0.0,1,9,Logistic_L2,WA_clean
1,0.10358261217707743,0.4,5,9,Logistic_L2,WA_clean
2,0.1605221596617054,0.25,4,9,Logistic_L2,WA_clean
3,0.22184128105271825,0.5,6,9,Logistic_L2,WA_clean
4,0.30694268045944734,0.5,2,9,Logistic_L2,WA_clean
5,0.36536424009392826,0.25,4,9,Logistic_L2,WA_clean
6,0.4372720941265834,0.5,2,9,Logistic_L2,WA_clean
7,0.49892315071951737,0.0,7,9,Logistic_L2,WA_clean
8,0.5566813851882513,1.0,1,9,Logistic_L2,WA_clean
9,0.6241047781833667,1.0,3,9,Logistic_L2,WA_clean
10,0.6956038966328397,0.5,2,9,Logistic_L2,WA_clean
12,0.8321725468699732,0.625,8,9,Logistic_L2,WA_clean
13,0.8982623890065462,1.0,1,9,Logistic_L2,WA_clean
14,0.9624371272064974,0.75,4,9,Logistic_L2,WA_clean
