fold,model,R,Q_label,S_drop,S_ratio,C_exp,C_linear,E_cos,E_rank,E_jaccard,E_mix
12,SVC_RBF,0.5848765432098766,0.8923995665860127,0.9997106481481481,0.999505277044642,0.43579345812506176,0.9540044850360475,,,,
13,ExtraTrees,0.6779388083735909,1.0,0.9993961352657005,0.9991092636577742,0.7662268344894021,0.9674645833333333,0.908095936716454,0.9884815514123276,0.8741258741258742,0.9235677874182185
13,GaussianNB,0.570048309178744,0.9811359191638589,0.9870169082125604,0.9772245762703493,0.963593769825791,0.9806427949862241,,,,
13,GradientBoosting,0.822866344605475,1.0,0.9346284973832528,0.920556353962307,0.811143985761429,0.9491380956895799,0.8337383271020409,0.9924542170698925,0.865921115921116,0.8973712200310165
13,Logistic_L2,0.5684380032206119,1.0,0.9484702093397746,0.9093484419256256,0.8298326542863687,0.9465449878063473,0.872939339572887,0.993425607999151,0.9226190476190476,0.9296613317303618
13,MLP,0.6924315619967794,0.9859347048286299,0.9849033816425121,0.9781976744180946,0.863152424610002,0.950623321469243,,,,
13,RandomForest,0.822866344605475,1.0,0.9482720662238325,0.9371368945689404,0.8229124499961431,0.9583708333333334,0.8649589569084921,0.9946126516846425,0.7878787878787878,0.8824834654906408
13,SVC_RBF,0.681159420289855,1.0,0.9889448721819646,0.9837701315006553,0.7313033969758893,0.967528216401664,,,,
14,ExtraTrees,0.6086956521739131,0.9894179894163639,0.9965780998389694,0.9943783068779054,0.7341482008368747,0.96330625,0.8959793175082694,0.9909448732807069,0.8831168831168832,0.9233470246352864
14,GaussianNB,0.5933977455716586,0.9348710990486282,0.9972826086956522,0.9954206241509219,0.9378720234010149,0.9729025320860473,,,,
14,GradientBoosting,0.6988727858293076,0.8341013824872857,0.9307568438003221,0.9009216589854225,0.8364651145565412,0.9509947624508308,0.8363902520327837,0.99397043340937,0.8988095238095238,0.9097234030838925
14,Logistic_L2,0.6280193236714975,1.0,0.963365539452496,0.9416666666657645,0.8564303866258705,0.9542286339945301,0.878383239193911,0.9939668908821162,0.9237012987012987,0.9320171429257753
14,MLP,0.6328502415458938,1.0,0.9836956521739131,0.9742366412208222,0.882537854984645,0.9463626511183454,,,,
14,RandomForest,0.7383252818035427,0.9400218102495445,0.9835950080515298,0.9777808069784639,0.8106877732710813,0.965525,0.8553295652237474,0.9963022252871486,0.8376623376623378,0.8964313760577447
14,SVC_RBF,0.6344605475040257,1.0,0.9795692431561998,0.9677982233497135,0.7689244393311695,0.9644234348968368,,,,
15,ExtraTrees,0.7190016103059581,0.8982362821935996,0.9870169082125604,0.98194288913672,0.658793535607395,0.9521020833333333,0.9018390345351776,0.9917793728543003,0.8831168831168832,0.9255784301687869
15,GaussianNB,0.6714975845410627,0.8961503873810673,0.9900032080314011,0.9851126910960277,0.9704958524617475,0.9887704705035336,,,,
15,GradientBoosting,0.8099838969404188,0.8903310903796928,0.9271336553945249,0.9100397614307508,0.8113792077362796,0.941752144411135,0.8277471279856423,0.9938564947510946,0.9184981684981685,0.9133672637449685
15,Logistic_L2,0.7407407407407407,0.9627403846140851,0.9253220611916264,0.8991847826081567,0.7667056869665938,0.9378238952435108,0.8763415981708924,0.9945766682083591,0.8862224731789949,0.9190469131860821
15,MLP,0.7423510466988729,0.9066827965948072,0.9900362318840579,0.9865780911058035,0.8938348344610157,0.9722341683674804,,,,
15,RandomForest,0.855072463768116,0.8630622555400597,0.9579307568438002,0.9508003766468685,0.8373935273748059,0.9693041666666666,0.8618731424590108,0.9945520433124555,0.8380681818181819,0.898164455863216
15,SVC_RBF,0.8276972624798712,0.9003198892536265,0.9693035426731079,0.9629134241235013,0.8080407805036451,0.9521648435946042,,,,
